Gas consumption package calculation
Gas type - "methane"
Gas press ~ 15 MPa
Gas temp - 0 cel

Cycle #0 | Gas pressure drop = 0.0506627 MPa
0.01 | Mass consumption = 0 kg/sec | Volume consumption = 0 m3/sec
0.02 | Mass consumption = 91 kg/sec | Volume consumption = 0 m3/sec
0.03 | Mass consumption = 183 kg/sec | Volume consumption = 1 m3/sec
0.04 | Mass consumption = 275 kg/sec | Volume consumption = 2 m3/sec
0.05 | Mass consumption = 367 kg/sec | Volume consumption = 3 m3/sec
0.06 | Mass consumption = 459 kg/sec | Volume consumption = 4 m3/sec
0.07 | Mass consumption = 551 kg/sec | Volume consumption = 5 m3/sec
0.08 | Mass consumption = 643 kg/sec | Volume consumption = 5 m3/sec
0.09 | Mass consumption = 735 kg/sec | Volume consumption = 6 m3/sec
0.1 | Mass consumption = 827 kg/sec | Volume consumption = 7 m3/sec
0.11 | Mass consumption = 919 kg/sec | Volume consumption = 8 m3/sec
0.12 | Mass consumption = 1011 kg/sec | Volume consumption = 9 m3/sec
0.13 | Mass consumption = 1103 kg/sec | Volume consumption = 10 m3/sec
0.14 | Mass consumption = 1195 kg/sec | Volume consumption = 11 m3/sec
0.15 | Mass consumption = 1287 kg/sec | Volume consumption = 11 m3/sec
0.16 | Mass consumption = 1379 kg/sec | Volume consumption = 12 m3/sec
0.17 | Mass consumption = 1471 kg/sec | Volume consumption = 13 m3/sec
0.18 | Mass consumption = 1563 kg/sec | Volume consumption = 14 m3/sec
0.19 | Mass consumption = 1655 kg/sec | Volume consumption = 15 m3/sec
0.2 | Mass consumption = 1747 kg/sec | Volume consumption = 16 m3/sec
0.21 | Mass consumption = 1839 kg/sec | Volume consumption = 17 m3/sec
0.22 | Mass consumption = 1931 kg/sec | Volume consumption = 17 m3/sec
0.23 | Mass consumption = 2022 kg/sec | Volume consumption = 18 m3/sec
0.24 | Mass consumption = 2114 kg/sec | Volume consumption = 19 m3/sec
0.25 | Mass consumption = 2206 kg/sec | Volume consumption = 20 m3/sec
0.26 | Mass consumption = 2298 kg/sec | Volume consumption = 21 m3/sec
0.27 | Mass consumption = 2390 kg/sec | Volume consumption = 22 m3/sec
0.28 | Mass consumption = 2482 kg/sec | Volume consumption = 23 m3/sec
0.29 | Mass consumption = 2574 kg/sec | Volume consumption = 23 m3/sec
0.3 | Mass consumption = 2666 kg/sec | Volume consumption = 24 m3/sec
0.31 | Mass consumption = 2758 kg/sec | Volume consumption = 25 m3/sec
0.32 | Mass consumption = 2850 kg/sec | Volume consumption = 26 m3/sec
0.33 | Mass consumption = 2942 kg/sec | Volume consumption = 27 m3/sec
0.34 | Mass consumption = 3034 kg/sec | Volume consumption = 28 m3/sec
0.35 | Mass consumption = 3126 kg/sec | Volume consumption = 29 m3/sec
0.36 | Mass consumption = 3218 kg/sec | Volume consumption = 29 m3/sec
0.37 | Mass consumption = 3310 kg/sec | Volume consumption = 30 m3/sec
0.38 | Mass consumption = 3402 kg/sec | Volume consumption = 31 m3/sec
0.39 | Mass consumption = 3494 kg/sec | Volume consumption = 32 m3/sec
0.4 | Mass consumption = 3586 kg/sec | Volume consumption = 33 m3/sec
0.41 | Mass consumption = 3678 kg/sec | Volume consumption = 34 m3/sec
0.42 | Mass consumption = 3770 kg/sec | Volume consumption = 35 m3/sec
0.43 | Mass consumption = 3862 kg/sec | Volume consumption = 35 m3/sec
0.44 | Mass consumption = 3953 kg/sec | Volume consumption = 36 m3/sec
0.45 | Mass consumption = 4045 kg/sec | Volume consumption = 37 m3/sec
0.46 | Mass consumption = 4137 kg/sec | Volume consumption = 38 m3/sec
0.47 | Mass consumption = 4229 kg/sec | Volume consumption = 39 m3/sec
0.48 | Mass consumption = 4321 kg/sec | Volume consumption = 40 m3/sec
0.49 | Mass consumption = 4413 kg/sec | Volume consumption = 41 m3/sec
0.5 | Mass consumption = 4505 kg/sec | Volume consumption = 41 m3/sec
0.51 | Mass consumption = 4597 kg/sec | Volume consumption = 42 m3/sec
0.52 | Mass consumption = 4689 kg/sec | Volume consumption = 43 m3/sec
0.53 | Mass consumption = 4781 kg/sec | Volume consumption = 44 m3/sec
0.54 | Mass consumption = 4873 kg/sec | Volume consumption = 45 m3/sec
0.55 | Mass consumption = 4965 kg/sec | Volume consumption = 46 m3/sec
0.56 | Mass consumption = 5057 kg/sec | Volume consumption = 47 m3/sec
0.57 | Mass consumption = 5149 kg/sec | Volume consumption = 47 m3/sec
0.58 | Mass consumption = 5241 kg/sec | Volume consumption = 48 m3/sec
0.59 | Mass consumption = 5333 kg/sec | Volume consumption = 49 m3/sec
0.6 | Mass consumption = 5425 kg/sec | Volume consumption = 50 m3/sec
0.61 | Mass consumption = 5517 kg/sec | Volume consumption = 51 m3/sec
0.62 | Mass consumption = 5609 kg/sec | Volume consumption = 52 m3/sec
0.63 | Mass consumption = 5701 kg/sec | Volume consumption = 53 m3/sec
0.64 | Mass consumption = 5793 kg/sec | Volume consumption = 53 m3/sec
0.65 | Mass consumption = 5884 kg/sec | Volume consumption = 54 m3/sec
0.66 | Mass consumption = 5976 kg/sec | Volume consumption = 55 m3/sec
0.67 | Mass consumption = 6068 kg/sec | Volume consumption = 56 m3/sec
0.68 | Mass consumption = 6160 kg/sec | Volume consumption = 57 m3/sec
0.69 | Mass consumption = 6252 kg/sec | Volume consumption = 58 m3/sec
0.7 | Mass consumption = 6344 kg/sec | Volume consumption = 59 m3/sec
0.71 | Mass consumption = 6436 kg/sec | Volume consumption = 59 m3/sec
0.72 | Mass consumption = 6528 kg/sec | Volume consumption = 60 m3/sec
0.73 | Mass consumption = 6620 kg/sec | Volume consumption = 61 m3/sec
0.74 | Mass consumption = 6712 kg/sec | Volume consumption = 62 m3/sec
0.75 | Mass consumption = 6804 kg/sec | Volume consumption = 63 m3/sec
0.76 | Mass consumption = 6896 kg/sec | Volume consumption = 64 m3/sec
0.77 | Mass consumption = 6988 kg/sec | Volume consumption = 65 m3/sec
0.78 | Mass consumption = 7080 kg/sec | Volume consumption = 65 m3/sec
0.79 | Mass consumption = 7172 kg/sec | Volume consumption = 66 m3/sec
0.8 | Mass consumption = 7264 kg/sec | Volume consumption = 67 m3/sec
0.81 | Mass consumption = 7356 kg/sec | Volume consumption = 68 m3/sec
0.82 | Mass consumption = 7448 kg/sec | Volume consumption = 69 m3/sec
0.83 | Mass consumption = 7540 kg/sec | Volume consumption = 70 m3/sec
0.84 | Mass consumption = 7632 kg/sec | Volume consumption = 71 m3/sec
0.85 | Mass consumption = 7724 kg/sec | Volume consumption = 71 m3/sec
0.86 | Mass consumption = 7815 kg/sec | Volume consumption = 72 m3/sec
0.87 | Mass consumption = 7907 kg/sec | Volume consumption = 73 m3/sec
0.88 | Mass consumption = 7999 kg/sec | Volume consumption = 74 m3/sec
0.89 | Mass consumption = 8091 kg/sec | Volume consumption = 75 m3/sec
0.9 | Mass consumption = 8183 kg/sec | Volume consumption = 76 m3/sec
0.91 | Mass consumption = 8275 kg/sec | Volume consumption = 77 m3/sec
0.92 | Mass consumption = 8367 kg/sec | Volume consumption = 77 m3/sec
0.93 | Mass consumption = 8459 kg/sec | Volume consumption = 78 m3/sec
0.94 | Mass consumption = 8551 kg/sec | Volume consumption = 79 m3/sec
0.95 | Mass consumption = 8643 kg/sec | Volume consumption = 80 m3/sec
0.96 | Mass consumption = 8735 kg/sec | Volume consumption = 81 m3/sec
0.97 | Mass consumption = 8827 kg/sec | Volume consumption = 82 m3/sec
0.98 | Mass consumption = 8919 kg/sec | Volume consumption = 83 m3/sec
0.99 | Mass consumption = 9011 kg/sec | Volume consumption = 83 m3/sec
1 | Mass consumption = 9103 kg/sec | Volume consumption = 84 m3/sec

Cycle #1 | Gas pressure drop = 0.101325 MPa
0.01 | Mass consumption = 0 kg/sec | Volume consumption = 0 m3/sec
0.02 | Mass consumption = 110 kg/sec | Volume consumption = 1 m3/sec
0.03 | Mass consumption = 220 kg/sec | Volume consumption = 2 m3/sec
0.04 | Mass consumption = 330 kg/sec | Volume consumption = 3 m3/sec
0.05 | Mass consumption = 440 kg/sec | Volume consumption = 4 m3/sec
0.06 | Mass consumption = 550 kg/sec | Volume consumption = 5 m3/sec
0.07 | Mass consumption = 661 kg/sec | Volume consumption = 6 m3/sec
0.08 | Mass consumption = 771 kg/sec | Volume consumption = 7 m3/sec
0.09 | Mass consumption = 881 kg/sec | Volume consumption = 8 m3/sec
0.1 | Mass consumption = 991 kg/sec | Volume consumption = 9 m3/sec
0.11 | Mass consumption = 1101 kg/sec | Volume consumption = 10 m3/sec
0.12 | Mass consumption = 1211 kg/sec | Volume consumption = 11 m3/sec
0.13 | Mass consumption = 1322 kg/sec | Volume consumption = 12 m3/sec
0.14 | Mass consumption = 1432 kg/sec | Volume consumption = 13 m3/sec
0.15 | Mass consumption = 1542 kg/sec | Volume consumption = 14 m3/sec
0.16 | Mass consumption = 1652 kg/sec | Volume consumption = 15 m3/sec
